model,accuracy,precision,recall,f1
LogReg,0.9796122199850976,0.9786950732356857,0.9774269444539162,0.9780605977889996
A2 MLP,0.9992390615091947,0.9984677721406926,0.999897705186347,0.9991822270682841
A3 LSTM (w=24),0.9949743963726874,0.9954908792785406,0.9936918198247349,0.9945905359976792
A4 CNN,0.9937378125148628,0.9934843419526506,0.9930439526715995,0.9932640984976382
