filters,kernel_size,epochs_ran,val_accuracy,val_precision,val_recall,val_f1,best_val_loss
64,3,15,0.9939913754835437,0.9952451627088831,0.994343301205481,0.9947940275545666,0.014873284846544266
64,5,12,0.9932938042995751,0.994232987312572,0.9941510832852789,0.9941920336120608,0.016116421669721603
128,3,14,0.9938803982497305,0.9947274474804338,0.9946728176401132,0.9947001318101933,0.01527629978954792
128,5,12,0.9939121060308199,0.9951356253607058,0.9943158415025949,0.9947255645294215,0.015370266512036324
